"screensize_cat","Mean(Avg_mode_power)"
16,14.966666666666667
18,17.256149999999998
19,17.581486666666667
21,24.81
22,23.96125
23,23.806666666666665
24,20.798815116279084
27,31.05428571428571
31,31
32,30.319595818815337
39,37.324285714285715
40,39.6535144736842
42,52.252500000000005
43,60.913556619718335
45,66.49
47,61
48,75.11052631578947
49,58.994
50,75.79731060606065
54,107.724
55,94.30130700132106
58,86.6507272727273
60,100.51525
64,112.19999999999999
65,130.5124722802848
70,133.76204878048776
74,175.6
75,166.25572096774198
77,169.15599999999998
82,170.6
83,190.15384615384613
85,215.25098830409382
86,226.91161764705882
88,334.5
97,233.84615384615387
98,296.3568059701492
99,320
100,281.186811594203
101,320
115,438
116,303.84
